Direction,Elevator,Floor,Layout,Region,Renovation,Size,age,Price
13,1,21,9,10,3,89.0,20,600.0
7,2,11,1,10,3,44.0,10,380.0
0,1,10,2,10,3,58.0,18,750.0
9,1,9,17,10,2,132.0,17,1020.0
11,2,16,1,10,2,47.0,16,360.0
9,1,7,17,10,2,153.0,21,1900.0
9,0,5,9,10,2,47.0,41,476.0
3,2,6,9,10,0,57.0,35,446.0
12,1,18,25,10,2,177.0,25,1239.0
9,1,5,18,10,0,179.0,9,2000.0
3,0,5,9,10,2,79.0,23,550.0
9,1,9,9,10,3,82.0,13,560.0
13,1,26,2,10,3,78.0,17,639.0
9,0,6,16,10,3,68.0,34,550.0
9,0,6,16,10,2,82.0,29,700.0
9,0,6,9,10,3,93.0,19,740.0
7,0,5,9,10,3,55.0,43,445.0
9,0,5,17,10,0,164.0,25,1500.0
9,1,9,17,10,3,131.0,9,795.0
9,2,6,16,10,3,90.0,24,835.0
9,2,6,9,10,2,72.0,25,490.0
7,1,18,9,10,2,81.0,31,720.0
9,1,7,16,10,3,150.0,11,1250.0
12,1,18,16,10,0,114.0,22,560.0
13,1,20,16,10,0,115.0,23,1350.0
0,1,25,9,10,2,164.0,20,1150.0
9,0,6,16,10,0,57.0,33,630.0
9,0,3,9,10,2,62.0,27,560.0
2,0,6,16,1,2,79.0,23,545.0
7,0,6,2,1,0,42.0,26,230.0
1,1,19,9,1,3,73.0,26,380.0
1,1,18,9,1,3,110.0,18,625.0
13,2,24,9,1,3,98.0,20,500.0
7,0,6,9,1,2,57.0,32,310.0
9,0,6,9,1,3,60.0,41,270.0
9,2,7,9,1,2,84.0,21,450.0
10,2,9,9,1,2,87.0,10,419.0
2,1,16,10,1,3,93.0,9,419.0
9,0,6,9,1,3,64.0,30,380.0
1,2,22,25,1,3,171.0,21,1196.0
12,2,14,17,1,2,105.0,13,610.0
13,1,30,17,1,0,207.0,20,1250.0
9,2,6,16,1,3,69.0,26,445.0
9,0,6,9,1,0,60.0,23,345.0
9,2,15,9,1,3,96.0,9,520.0
7,2,18,9,1,2,69.0,6,332.0
